#{"t_start": 1721770740.9424355, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
65.0,1715,0.715084
210.0,2611,1.007195
105.0,1403,1.159723
110.0,1703,1.341416
75.0,1413,1.492484
35.0,993,1.599353
60.0,1355,1.744791
130.0,1739,1.932109
85.0,1471,2.091249
180.0,1935,2.296313
245.0,3553,2.667468
150.0,2167,2.90075
180.0,2095,3.125314
110.0,1635,3.308759
65.0,1853,3.510631
50.0,1627,3.689503
105.0,1867,3.896251
100.0,2127,4.134987
90.0,1899,4.347477
185.0,3211,4.703857
730.0,3819,5.122291
130.0,2379,5.388331
20.0,1201,5.521168
145.0,1873,5.727954
150.0,1413,5.884513
180.0,1871,6.09373
160.0,2431,6.364167
125.0,1375,6.515583
100.0,1645,6.695608
60.0,1809,6.897727
135.0,1859,7.10464
210.0,2663,7.394414
55.0,1599,7.568251
30.0,1649,7.746704
180.0,1571,7.915807
235.0,3073,8.255638
90.0,1643,8.437275
140.0,1895,8.643487
55.0,1187,8.773571
135.0,2173,9.014959
195.0,2035,9.241338
150.0,3393,9.62834
90.0,1633,9.804219
385.0,2279,10.058181
75.0,1499,10.229684
160.0,2419,10.500171
180.0,2333,10.758771
45.0,1113,10.88151
120.0,2005,11.109878
120.0,2109,11.334971
160.0,2517,11.60987
415.0,2479,13.329826
155.0,1949,13.534162
120.0,2203,13.765952
170.0,2373,14.014965
210.0,1879,14.212014
185.0,1923,14.41366
210.0,2265,14.652418
65.0,1975,14.862359
355.0,2363,15.112495
120.0,2231,15.346103
135.0,2563,15.613354
80.0,1405,15.760953
240.0,2491,16.021113
110.0,1509,16.180405
145.0,2023,16.393883
80.0,1151,16.514232
35.0,1149,16.635968
180.0,2073,16.853652
110.0,1905,17.05584
30.0,1543,17.219585
105.0,2081,17.438693
140.0,1845,17.632304
225.0,3413,17.985325
105.0,1805,18.174832
210.0,2269,18.412737
110.0,1627,18.584166
150.0,2391,18.835432
465.0,3280,19.173095
215.0,3373,19.524723
65.0,1187,19.649373
30.0,1483,19.806635
520.0,3231,20.140378
110.0,1785,20.326427
180.0,1975,20.533735
135.0,3033,20.850142
210.0,2023,21.062019
185.0,2841,21.361519
30.0,1553,21.53061
210.0,2583,21.801708
395.0,3675,22.179985
170.0,2317,22.426728
75.0,1121,22.547956
90.0,1915,22.749387
120.0,2457,23.007864
110.0,2005,23.229822
100.0,1697,23.408751
55.0,1089,23.524622
55.0,1625,23.696958
45.0,1137,23.817697
135.0,1985,25.205523
105.0,1417,25.356564
110.0,2271,25.598821
80.0,1143,25.719712
35.0,1343,25.861886
70.0,1855,26.058749
95.0,1907,26.259622
60.0,1069,26.373009
110.0,1921,26.576193
135.0,1921,26.778745
20.0,1375,26.925955
285.0,3353,27.272944
155.0,1957,27.480161
155.0,2253,27.717357
135.0,1515,27.878178
105.0,1147,27.999488
15.0,1761,28.190682
420.0,2803,28.488458
110.0,3189,28.827668
175.0,2867,29.128301
135.0,1917,29.335819
30.0,1293,29.476417
35.0,1789,29.668983
80.0,1157,29.790712
100.0,1953,29.997408
45.0,1673,30.173557
180.0,2831,30.470319
210.0,2549,30.735879
125.0,1451,30.888846
155.0,1523,31.049454
125.0,2527,31.315957
135.0,2327,31.561054
160.0,2325,31.806063
75.0,1607,31.974894
120.0,1877,32.173531
65.0,1547,32.337566
50.0,1217,32.469223
110.0,1573,32.637596
170.0,2107,32.860413
135.0,1395,33.006909
30.0,1203,33.134939
20.0,1171,33.259143
190.0,2681,33.541633
135.0,2091,33.761322
105.0,2015,33.973253
130.0,2133,34.197794
40.0,1135,34.31812
255.0,2533,34.588446
135.0,2255,34.836959
210.0,2045,35.059311
115.0,2219,35.293334
455.0,4109,35.709069
170.0,2079,35.927168
180.0,1999,38.103876
120.0,2051,38.31977
135.0,2053,38.535241
30.0,1581,38.703033
90.0,1529,38.864715
590.0,3915,39.269457
105.0,1595,39.437811
150.0,1829,39.636939
80.0,1123,39.755511
265.0,2023,39.967108
80.0,1137,40.08769
110.0,1911,40.289437
155.0,1535,40.450485
55.0,1639,40.624633
55.0,1481,40.781268
180.0,2379,41.031974
75.0,1511,41.19234
230.0,2667,41.474357
45.0,1169,41.598605
135.0,2445,41.855046
185.0,3245,42.194723
80.0,1151,42.317017
65.0,1535,42.514465
270.0,3335,42.862222
120.0,1607,43.03114
240.0,2383,43.281828
90.0,1393,43.428297
135.0,2083,43.64835
110.0,1925,43.852219
65.0,1635,44.024661
135.0,1561,44.190554
185.0,2397,44.440765
200.0,3377,44.793202
45.0,1189,44.919202
180.0,1991,45.127252
160.0,2047,45.342762
180.0,1549,45.50632
210.0,2471,45.76466
455.0,3475,46.123049
380.0,2799,46.415869
80.0,1225,46.545149
135.0,1963,46.751936
135.0,2153,46.976808
55.0,1127,47.095536
55.0,1539,47.25867
485.0,2960,47.563874
170.0,3235,47.901028
650.0,3705,48.287215
80.0,1743,48.471745
425.0,4455,51.532922
300.0,3891,52.641127
75.0,2015,53.208276
140.0,2569,53.942318
185.0,4287,55.174124
90.0,4831,56.585743
150.0,1833,57.11205
235.0,4357,58.348485
255.0,2247,58.988251
115.0,2361,59.661296
90.0,1929,60.211618
245.0,2125,60.817406
220.0,2409,61.510741
120.0,4227,62.733078
30.0,1169,63.072016
205.0,4791,64.442938
50.0,1905,64.999954
115.0,2067,65.589932
185.0,2017,66.165364
250.0,2961,67.012084
65.0,1923,67.560567
500.0,3823,68.650298
35.0,1487,69.084815
170.0,1921,69.628448
345.0,3379,70.618028
540.0,4185,71.826354
210.0,3419,72.795897
0.0,925,73.056222
460.0,3089,73.924839
165.0,1927,74.470794
60.0,1133,74.794972
155.0,2453,75.496761
285.0,3179,76.408113
165.0,1941,76.963928
135.0,2095,77.554785
240.0,2663,78.309168
120.0,2131,78.931036
275.0,3271,79.88936
130.0,2939,83.186141
515.0,3891,84.307291
415.0,3511,85.312648
55.0,1919,85.863772
5.0,1593,86.312269
115.0,2449,87.0101
15.0,1483,87.42981
105.0,1777,87.936072
15.0,1009,88.22135
115.0,1653,88.697898
105.0,1297,89.063018
145.0,2001,89.635978
285.0,3093,90.506901
305.0,2957,91.357581
135.0,2105,91.962547
120.0,1877,92.517275
135.0,1859,93.058961
185.0,3243,93.997358
620.0,3842,95.094349
110.0,2393,95.783653
235.0,2651,96.532288
170.0,2593,97.277843
220.0,2413,97.969021
275.0,2167,98.601717
105.0,1179,98.93337
105.0,1471,99.354292
135.0,1865,99.883121
130.0,1963,100.450486
165.0,1831,100.967379
175.0,2917,101.824201
175.0,2967,102.678622
440.0,3555,103.690439
260.0,3239,104.616677
350.0,4059,105.768065
200.0,2027,106.35312
160.0,2075,106.94519
105.0,1879,107.481953
190.0,2337,108.150617
105.0,1513,108.585678
185.0,1905,109.119621
130.0,2087,109.710831
190.0,2085,110.294163
270.0,2745,111.073164
325.0,3197,114.16363
250.0,3265,115.092808
75.0,1047,115.394626
215.0,2945,116.243469
365.0,3553,117.258972
110.0,1337,117.656105
160.0,2759,118.448917
315.0,3545,119.453342
260.0,2505,120.16939
140.0,2323,120.837333
120.0,1989,121.416546
525.0,3909,122.53104
310.0,2935,123.373674
105.0,1723,123.866617
65.0,2079,124.469859
475.0,3421,125.449682
240.0,2539,126.168856
185.0,2047,126.749052
105.0,1867,127.282593
120.0,3701,128.356064
270.0,2163,128.981533
370.0,3483,129.962836
230.0,2573,130.697292
135.0,2363,131.373159
800.0,5649,132.964206
300.0,2923,133.791092
215.0,2493,134.500197
210.0,4213,135.713545
380.0,3321,136.662019
335.0,2393,137.343224
415.0,3687,138.404317
120.0,1913,138.948151
215.0,1883,139.477331
910.0,6453,141.292891
185.0,1857,141.827003
325.0,3775,142.886765
195.0,1917,145.439882
70.0,1127,145.754868
450.0,3431,146.724346
225.0,2551,147.432491
130.0,2009,147.999815
225.0,2861,148.813589
405.0,2033,149.392976
355.0,2673,150.156641
215.0,2971,151.008291
405.0,2681,151.784069
230.0,2325,152.448899
435.0,2307,153.1095
210.0,2263,153.754378
330.0,3061,154.627569
490.0,4179,155.823878
185.0,2095,156.414088
235.0,2203,157.04499
80.0,1563,157.490015
375.0,3469,158.493242
295.0,3329,159.435463
235.0,2505,160.162165
370.0,3067,161.03188
150.0,2395,161.699623
135.0,1945,162.246985
185.0,2439,162.933678
300.0,2867,163.77661
195.0,1959,164.337265
290.0,3223,165.256127
430.0,3849,166.343355
260.0,2481,167.047516
